,n,pop,detuning,freq,power
159,3,0.0,3000000.0,0.0,-26.0
160,0,1.0,1500000.0,5312400000.0,-26.0
161,1,0.0,1500000.0,0.0,-26.0
162,2,0.0,1500000.0,0.0,-26.0
163,3,0.0,1500000.0,0.0,-26.0
164,0,1.0,0.0,5312400000.0,-26.0
165,1,0.0,0.0,0.0,-26.0
166,2,0.0,0.0,0.0,-26.0
167,3,0.0,0.0,0.0,-26.0
168,0,0.9555945764123839,30000000.0,5312600000.0,-25.0
169,1,0.044405423587616094,30000000.0,5319200000.0,-25.0
170,2,0.0,30000000.0,0.0,-25.0
171,3,0.0,30000000.0,0.0,-25.0
172,0,0.9530570765624286,28500000.0,5312400000.0,-25.0
173,1,0.04694292343757139,28500000.0,5319600000.0,-25.0
174,2,0.0,28500000.0,0.0,-25.0
175,3,0.0,28500000.0,0.0,-25.0
176,0,1.0,27000000.0,5312400000.0,-25.0
177,1,0.0,27000000.0,0.0,-25.0
178,2,0.0,27000000.0,0.0,-25.0
179,3,0.0,27000000.0,0.0,-25.0
180,0,1.0,25500000.0,5312400000.0,-25.0
181,1,0.0,25500000.0,0.0,-25.0
182,2,0.0,25500000.0,0.0,-25.0
183,3,0.0,25500000.0,0.0,-25.0
184,0,1.0,24000000.0,5312400000.0,-25.0
185,1,0.0,24000000.0,0.0,-25.0
186,2,0.0,24000000.0,0.0,-25.0
187,3,0.0,24000000.0,0.0,-25.0
188,0,1.0,22500000.0,5312400000.0,-25.0
189,1,0.0,22500000.0,0.0,-25.0
190,2,0.0,22500000.0,0.0,-25.0
191,3,0.0,22500000.0,0.0,-25.0
192,0,1.0,21000000.0,5312400000.0,-25.0
193,1,0.0,21000000.0,0.0,-25.0
194,2,0.0,21000000.0,0.0,-25.0
195,3,0.0,21000000.0,0.0,-25.0
196,0,1.0,19500000.0,5312400000.0,-25.0
197,1,0.0,19500000.0,0.0,-25.0
198,2,0.0,19500000.0,0.0,-25.0
199,3,0.0,19500000.0,0.0,-25.0
200,0,1.0,18000000.0,5312400000.0,-25.0
201,1,0.0,18000000.0,0.0,-25.0
202,2,0.0,18000000.0,0.0,-25.0
203,3,0.0,18000000.0,0.0,-25.0
204,0,0.9106940851757086,16500000.0,5312400000.0,-25.0
205,1,0.08930591482429148,16500000.0,5318600000.0,-25.0
206,2,0.0,16500000.0,0.0,-25.0
207,3,0.0,16500000.0,0.0,-25.0
208,0,0.936790008791865,15000000.0,5312400000.0,-25.0
209,1,0.06320999120813492,15000000.0,5317400000.0,-25.0
210,2,0.0,15000000.0,0.0,-25.0
211,3,0.0,15000000.0,0.0,-25.0
212,0,0.9632359312966947,13500000.0,5312400000.0,-25.0
213,1,0.036764068703305244,13500000.0,5318000000.0,-25.0
214,2,0.0,13500000.0,0.0,-25.0
215,3,0.0,13500000.0,0.0,-25.0
216,0,1.0,12000000.0,5312400000.0,-25.0
217,1,0.0,12000000.0,0.0,-25.0
218,2,0.0,12000000.0,0.0,-25.0
219,3,0.0,12000000.0,0.0,-25.0
220,0,1.0,10500000.0,5312400000.0,-25.0
221,1,0.0,10500000.0,0.0,-25.0
222,2,0.0,10500000.0,0.0,-25.0
223,3,0.0,10500000.0,0.0,-25.0
224,0,1.0,9000000.0,5312400000.0,-25.0
225,1,0.0,9000000.0,0.0,-25.0
226,2,0.0,9000000.0,0.0,-25.0
227,3,0.0,9000000.0,0.0,-25.0
228,0,1.0,7500000.0,5312400000.0,-25.0
229,1,0.0,7500000.0,0.0,-25.0
230,2,0.0,7500000.0,0.0,-25.0
231,3,0.0,7500000.0,0.0,-25.0
232,0,1.0,6000000.0,5312400000.0,-25.0
233,1,0.0,6000000.0,0.0,-25.0
234,2,0.0,6000000.0,0.0,-25.0
235,3,0.0,6000000.0,0.0,-25.0
236,0,1.0,4500000.0,5312400000.0,-25.0
237,1,0.0,4500000.0,0.0,-25.0
238,2,0.0,4500000.0,0.0,-25.0
239,3,0.0,4500000.0,0.0,-25.0
240,0,1.0,3000000.0,5312400000.0,-25.0
241,1,0.0,3000000.0,0.0,-25.0
242,2,0.0,3000000.0,0.0,-25.0
243,3,0.0,3000000.0,0.0,-25.0
244,0,1.0,1500000.0,5312400000.0,-25.0
245,1,0.0,1500000.0,0.0,-25.0
246,2,0.0,1500000.0,0.0,-25.0
247,3,0.0,1500000.0,0.0,-25.0
248,0,1.0,0.0,5312400000.0,-25.0
249,1,0.0,0.0,0.0,-25.0
250,2,0.0,0.0,0.0,-25.0
251,3,0.0,0.0,0.0,-25.0
252,0,0.9374517093926638,30000000.0,5312600000.0,-24.0
253,1,0.06254829060733627,30000000.0,5320000000.0,-24.0
254,2,0.0,30000000.0,0.0,-24.0
255,3,0.0,30000000.0,0.0,-24.0
256,0,0.9529634448403003,28500000.0,5312600000.0,-24.0
257,1,0.047036555159699664,28500000.0,5318400000.0,-24.0
258,2,0.0,28500000.0,0.0,-24.0
259,3,0.0,28500000.0,0.0,-24.0
260,0,0.9472054805276537,27000000.0,5312600000.0,-24.0
261,1,0.05279451947234626,27000000.0,5319000000.0,-24.0
262,2,0.0,27000000.0,0.0,-24.0
263,3,0.0,27000000.0,0.0,-24.0
264,0,1.0,25500000.0,5312400000.0,-24.0
265,1,0.0,25500000.0,0.0,-24.0
266,2,0.0,25500000.0,0.0,-24.0
267,3,0.0,25500000.0,0.0,-24.0
268,0,1.0,24000000.0,5312400000.0,-24.0
269,1,0.0,24000000.0,0.0,-24.0
270,2,0.0,24000000.0,0.0,-24.0
271,3,0.0,24000000.0,0.0,-24.0
272,0,0.9332318724027252,22500000.0,5312400000.0,-24.0
273,1,0.06676812759727482,22500000.0,5318600000.0,-24.0
274,2,0.0,22500000.0,0.0,-24.0
275,3,0.0,22500000.0,0.0,-24.0
276,0,0.9498537446809874,21000000.0,5312400000.0,-24.0
277,1,0.050146255319012574,21000000.0,5318800000.0,-24.0
278,2,0.0,21000000.0,0.0,-24.0
279,3,0.0,21000000.0,0.0,-24.0
280,0,1.0,19500000.0,5312400000.0,-24.0
281,1,0.0,19500000.0,0.0,-24.0
282,2,0.0,19500000.0,0.0,-24.0
283,3,0.0,19500000.0,0.0,-24.0
284,0,0.9551761725316258,18000000.0,5312400000.0,-24.0
285,1,0.04482382746837424,18000000.0,5318000000.0,-24.0
286,2,0.0,18000000.0,0.0,-24.0
287,3,0.0,18000000.0,0.0,-24.0
288,0,0.9305751612439609,16500000.0,5312400000.0,-24.0
289,1,0.06942483875603912,16500000.0,5318000000.0,-24.0
290,2,0.0,16500000.0,0.0,-24.0
291,3,0.0,16500000.0,0.0,-24.0
292,0,1.0,15000000.0,5312400000.0,-24.0
293,1,0.0,15000000.0,0.0,-24.0
294,2,0.0,15000000.0,0.0,-24.0
295,3,0.0,15000000.0,0.0,-24.0
296,0,0.9257386397707127,13500000.0,5312400000.0,-24.0
297,1,0.07426136022928725,13500000.0,5317400000.0,-24.0
298,2,0.0,13500000.0,0.0,-24.0
299,3,0.0,13500000.0,0.0,-24.0
300,0,0.9603909605668874,12000000.0,5312400000.0,-24.0
301,1,0.039609039433112565,12000000.0,5317600000.0,-24.0
302,2,0.0,12000000.0,0.0,-24.0
303,3,0.0,12000000.0,0.0,-24.0
304,0,1.0,10500000.0,5312400000.0,-24.0
305,1,0.0,10500000.0,0.0,-24.0
306,2,0.0,10500000.0,0.0,-24.0
307,3,0.0,10500000.0,0.0,-24.0
308,0,0.9508950415671594,9000000.0,5312400000.0,-24.0
309,1,0.04910495843284068,9000000.0,5317000000.0,-24.0
310,2,0.0,9000000.0,0.0,-24.0
311,3,0.0,9000000.0,0.0,-24.0
312,0,1.0,7500000.0,5312400000.0,-24.0
313,1,0.0,7500000.0,0.0,-24.0
314,2,0.0,7500000.0,0.0,-24.0
315,3,0.0,7500000.0,0.0,-24.0
316,0,1.0,6000000.0,5312400000.0,-24.0
317,1,0.0,6000000.0,0.0,-24.0
318,2,0.0,6000000.0,0.0,-24.0
319,3,0.0,6000000.0,0.0,-24.0
320,0,1.0,4500000.0,5312400000.0,-24.0
321,1,0.0,4500000.0,0.0,-24.0
322,2,0.0,4500000.0,0.0,-24.0
323,3,0.0,4500000.0,0.0,-24.0
324,0,0.9784533602147502,3000000.0,5312400000.0,-24.0
325,1,0.02154663978524981,3000000.0,5316000000.0,-24.0
326,2,0.0,3000000.0,0.0,-24.0
327,3,0.0,3000000.0,0.0,-24.0
328,0,1.0,1500000.0,5312400000.0,-24.0
329,1,0.0,1500000.0,0.0,-24.0
330,2,0.0,1500000.0,0.0,-24.0
331,3,0.0,1500000.0,0.0,-24.0
332,0,1.0,0.0,5312400000.0,-24.0
333,1,0.0,0.0,0.0,-24.0
334,2,0.0,0.0,0.0,-24.0
335,3,0.0,0.0,0.0,-24.0
336,0,0.9234287686972998,30000000.0,5312400000.0,-23.0
337,1,0.07657123130270015,30000000.0,5319600000.0,-23.0
338,2,0.0,30000000.0,0.0,-23.0
339,3,0.0,30000000.0,0.0,-23.0
340,0,0.9374336594320534,28500000.0,5312600000.0,-23.0
341,1,0.06256634056794665,28500000.0,5319000000.0,-23.0
342,2,0.0,28500000.0,0.0,-23.0
343,3,0.0,28500000.0,0.0,-23.0
344,0,0.9055454873930183,27000000.0,5312600000.0,-23.0
345,1,0.09445451260698173,27000000.0,5318600000.0,-23.0
346,2,0.0,27000000.0,0.0,-23.0
347,3,0.0,27000000.0,0.0,-23.0
348,0,0.9303211969969983,25500000.0,5312600000.0,-23.0
349,1,0.06967880300300165,25500000.0,5319600000.0,-23.0
350,2,0.0,25500000.0,0.0,-23.0
351,3,0.0,25500000.0,0.0,-23.0
352,0,1.0,24000000.0,5312400000.0,-23.0
353,1,0.0,24000000.0,0.0,-23.0
354,2,0.0,24000000.0,0.0,-23.0
355,3,0.0,24000000.0,0.0,-23.0
356,0,1.0,22500000.0,5312400000.0,-23.0
357,1,0.0,22500000.0,0.0,-23.0
358,2,0.0,22500000.0,0.0,-23.0
359,3,0.0,22500000.0,0.0,-23.0
360,0,1.0,21000000.0,5312400000.0,-23.0
361,1,0.0,21000000.0,0.0,-23.0
362,2,0.0,21000000.0,0.0,-23.0
363,3,0.0,21000000.0,0.0,-23.0
364,0,1.0,19500000.0,5312400000.0,-23.0
365,1,0.0,19500000.0,0.0,-23.0
366,2,0.0,19500000.0,0.0,-23.0
367,3,0.0,19500000.0,0.0,-23.0
368,0,1.0,18000000.0,5312400000.0,-23.0
369,1,0.0,18000000.0,0.0,-23.0
370,2,0.0,18000000.0,0.0,-23.0
371,3,0.0,18000000.0,0.0,-23.0
372,0,1.0,16500000.0,5312400000.0,-23.0
373,1,0.0,16500000.0,0.0,-23.0
374,2,0.0,16500000.0,0.0,-23.0
375,3,0.0,16500000.0,0.0,-23.0
376,0,1.0,15000000.0,5312400000.0,-23.0
377,1,0.0,15000000.0,0.0,-23.0
378,2,0.0,15000000.0,0.0,-23.0
379,3,0.0,15000000.0,0.0,-23.0
380,0,1.0,13500000.0,5312400000.0,-23.0
381,1,0.0,13500000.0,0.0,-23.0
382,2,0.0,13500000.0,0.0,-23.0
383,3,0.0,13500000.0,0.0,-23.0
384,0,1.0,12000000.0,5312400000.0,-23.0
385,1,0.0,12000000.0,0.0,-23.0
386,2,0.0,12000000.0,0.0,-23.0
387,3,0.0,12000000.0,0.0,-23.0
388,0,0.5067075530803112,10500000.0,5312400000.0,-23.0
389,1,0.4932924469196888,10500000.0,5317200000.0,-23.0
390,2,0.0,10500000.0,0.0,-23.0
391,3,0.0,10500000.0,0.0,-23.0
392,0,1.0,9000000.0,5312400000.0,-23.0
393,1,0.0,9000000.0,0.0,-23.0
394,2,0.0,9000000.0,0.0,-23.0
395,3,0.0,9000000.0,0.0,-23.0
396,0,0.934193978343358,7500000.0,5312400000.0,-23.0
397,1,0.065806021656642,7500000.0,5316800000.0,-23.0
398,2,0.0,7500000.0,0.0,-23.0
399,3,0.0,7500000.0,0.0,-23.0
400,0,1.0,6000000.0,5312400000.0,-23.0
401,1,0.0,6000000.0,0.0,-23.0
402,2,0.0,6000000.0,0.0,-23.0
403,3,0.0,6000000.0,0.0,-23.0
404,0,1.0,4500000.0,5312400000.0,-23.0
405,1,0.0,4500000.0,0.0,-23.0
406,2,0.0,4500000.0,0.0,-23.0
407,3,0.0,4500000.0,0.0,-23.0
408,0,1.0,3000000.0,5312400000.0,-23.0
409,1,0.0,3000000.0,0.0,-23.0
410,2,0.0,3000000.0,0.0,-23.0
411,3,0.0,3000000.0,0.0,-23.0
412,0,1.0,1500000.0,5312400000.0,-23.0
413,1,0.0,1500000.0,0.0,-23.0
414,2,0.0,1500000.0,0.0,-23.0
415,3,0.0,1500000.0,0.0,-23.0
416,0,0.9683231964909318,0.0,5312400000.0,-23.0
417,1,0.03167680350906816,0.0,5315800000.0,-23.0
418,2,0.0,0.0,0.0,-23.0
419,3,0.0,0.0,0.0,-23.0
420,0,0.910174597332578,30000000.0,5312600000.0,-22.0
421,1,0.08982540266742202,30000000.0,5319600000.0,-22.0
422,2,0.0,30000000.0,0.0,-22.0
423,3,0.0,30000000.0,0.0,-22.0
424,0,0.9352641607659481,28500000.0,5312400000.0,-22.0
425,1,0.06473583923405195,28500000.0,5318800000.0,-22.0
426,2,0.0,28500000.0,0.0,-22.0
427,3,0.0,28500000.0,0.0,-22.0
428,0,0.9248569843849784,27000000.0,5312600000.0,-22.0
429,1,0.07514301561502146,27000000.0,5318800000.0,-22.0
430,2,0.0,27000000.0,0.0,-22.0
431,3,0.0,27000000.0,0.0,-22.0
432,0,0.9339864138216644,25500000.0,5312600000.0,-22.0
433,1,0.06601358617833575,25500000.0,5319400000.0,-22.0
434,2,0.0,25500000.0,0.0,-22.0
435,3,0.0,25500000.0,0.0,-22.0
436,0,1.0,24000000.0,5312600000.0,-22.0
437,1,0.0,24000000.0,0.0,-22.0
438,2,0.0,24000000.0,0.0,-22.0
439,3,0.0,24000000.0,0.0,-22.0
440,0,0.9177409951136263,22500000.0,5312400000.0,-22.0
441,1,0.08225900488637367,22500000.0,5318800000.0,-22.0
442,2,0.0,22500000.0,0.0,-22.0
443,3,0.0,22500000.0,0.0,-22.0
444,0,0.9122394667946645,21000000.0,5312400000.0,-22.0
445,1,0.0877605332053355,21000000.0,5318400000.0,-22.0
446,2,0.0,21000000.0,0.0,-22.0
447,3,0.0,21000000.0,0.0,-22.0
448,0,0.9384378213385621,19500000.0,5312400000.0,-22.0
449,1,0.061562178661437865,19500000.0,5318600000.0,-22.0
450,2,0.0,19500000.0,0.0,-22.0
451,3,0.0,19500000.0,0.0,-22.0
452,0,0.9140843755264362,18000000.0,5312400000.0,-22.0
453,1,0.08591562447356392,18000000.0,5318200000.0,-22.0
454,2,0.0,18000000.0,0.0,-22.0
455,3,0.0,18000000.0,0.0,-22.0
456,0,0.9343191096491957,16500000.0,5312400000.0,-22.0
457,1,0.06568089035080422,16500000.0,5317600000.0,-22.0
458,2,0.0,16500000.0,0.0,-22.0
459,3,0.0,16500000.0,0.0,-22.0
460,0,0.9301801461821174,15000000.0,5312400000.0,-22.0
461,1,0.0698198538178825,15000000.0,5317600000.0,-22.0
462,2,0.0,15000000.0,0.0,-22.0
463,3,0.0,15000000.0,0.0,-22.0
464,0,1.0,13500000.0,5312400000.0,-22.0
465,1,0.0,13500000.0,0.0,-22.0
466,2,0.0,13500000.0,0.0,-22.0
467,3,0.0,13500000.0,0.0,-22.0
468,0,0.9500024428054107,12000000.0,5312400000.0,-22.0
469,1,0.04999755719458934,12000000.0,5317400000.0,-22.0
470,2,0.0,12000000.0,0.0,-22.0
471,3,0.0,12000000.0,0.0,-22.0
472,0,0.9476657715596655,10500000.0,5312400000.0,-22.0
473,1,0.052334228440334515,10500000.0,5317400000.0,-22.0
474,2,0.0,10500000.0,0.0,-22.0
475,3,0.0,10500000.0,0.0,-22.0
476,0,0.9220774715600022,9000000.0,5312400000.0,-22.0
477,1,0.0779225284399978,9000000.0,5317000000.0,-22.0
478,2,0.0,9000000.0,0.0,-22.0
479,3,0.0,9000000.0,0.0,-22.0
480,0,1.0,7500000.0,5312400000.0,-22.0
481,1,0.0,7500000.0,0.0,-22.0
482,2,0.0,7500000.0,0.0,-22.0
483,3,0.0,7500000.0,0.0,-22.0
484,0,1.0,6000000.0,5312400000.0,-22.0
485,1,0.0,6000000.0,0.0,-22.0
486,2,0.0,6000000.0,0.0,-22.0
487,3,0.0,6000000.0,0.0,-22.0
488,0,1.0,4500000.0,5312400000.0,-22.0
489,1,0.0,4500000.0,0.0,-22.0
490,2,0.0,4500000.0,0.0,-22.0
491,3,0.0,4500000.0,0.0,-22.0
492,0,1.0,3000000.0,5312400000.0,-22.0
493,1,0.0,3000000.0,0.0,-22.0
494,2,0.0,3000000.0,0.0,-22.0
495,3,0.0,3000000.0,0.0,-22.0
496,0,1.0,1500000.0,5312400000.0,-22.0
497,1,0.0,1500000.0,0.0,-22.0
498,2,0.0,1500000.0,0.0,-22.0
499,3,0.0,1500000.0,0.0,-22.0
500,0,1.0,0.0,5312400000.0,-22.0
501,1,0.0,0.0,0.0,-22.0
502,2,0.0,0.0,0.0,-22.0
503,3,0.0,0.0,0.0,-22.0
504,0,0.875590071305974,30000000.0,5312600000.0,-21.0
505,1,0.12440992869402595,30000000.0,5319600000.0,-21.0
506,2,0.0,30000000.0,0.0,-21.0
507,3,0.0,30000000.0,0.0,-21.0
508,0,0.892749032661617,28500000.0,5312400000.0,-21.0
509,1,0.10725096733838299,28500000.0,5319000000.0,-21.0
510,2,0.0,28500000.0,0.0,-21.0
511,3,0.0,28500000.0,0.0,-21.0
512,0,0.8823206071483365,27000000.0,5312400000.0,-21.0
513,1,0.11767939285166354,27000000.0,5319000000.0,-21.0
514,2,0.0,27000000.0,0.0,-21.0
515,3,0.0,27000000.0,0.0,-21.0
516,0,0.9386353987804368,25500000.0,5312600000.0,-21.0
517,1,0.06136460121956313,25500000.0,5319000000.0,-21.0
518,2,0.0,25500000.0,0.0,-21.0
519,3,0.0,25500000.0,0.0,-21.0
520,0,0.9271498789179645,24000000.0,5312400000.0,-21.0
521,1,0.07285012108203544,24000000.0,5319200000.0,-21.0
522,2,0.0,24000000.0,0.0,-21.0
523,3,0.0,24000000.0,0.0,-21.0
524,0,0.914188709162852,22500000.0,5312400000.0,-21.0
525,1,0.08581129083714803,22500000.0,5319000000.0,-21.0
526,2,0.0,22500000.0,0.0,-21.0
527,3,0.0,22500000.0,0.0,-21.0
528,0,0.923964784319282,21000000.0,5312400000.0,-21.0
529,1,0.07603521568071812,21000000.0,5318200000.0,-21.0
530,2,0.0,21000000.0,0.0,-21.0
531,3,0.0,21000000.0,0.0,-21.0
532,0,0.929425180021743,19500000.0,5312400000.0,-21.0
533,1,0.07057481997825704,19500000.0,5318600000.0,-21.0
534,2,0.0,19500000.0,0.0,-21.0
535,3,0.0,19500000.0,0.0,-21.0
536,0,0.8716692672656653,18000000.0,5312400000.0,-21.0
537,1,0.12833073273433476,18000000.0,5318000000.0,-21.0
538,2,0.0,18000000.0,0.0,-21.0
539,3,0.0,18000000.0,0.0,-21.0
540,0,0.9254116354337929,16500000.0,5312400000.0,-21.0
541,1,0.07458836456620711,16500000.0,5318000000.0,-21.0
542,2,0.0,16500000.0,0.0,-21.0
543,3,0.0,16500000.0,0.0,-21.0
544,0,0.9210002544878515,15000000.0,5312400000.0,-21.0
545,1,0.07899974551214847,15000000.0,5317600000.0,-21.0
546,2,0.0,15000000.0,0.0,-21.0
547,3,0.0,15000000.0,0.0,-21.0
548,0,0.9640179934547533,13500000.0,5312400000.0,-21.0
549,1,0.03598200654524666,13500000.0,5317800000.0,-21.0
550,2,0.0,13500000.0,0.0,-21.0
551,3,0.0,13500000.0,0.0,-21.0
552,0,0.9423175201845548,12000000.0,5312400000.0,-21.0
553,1,0.0576824798154452,12000000.0,5317400000.0,-21.0
554,2,0.0,12000000.0,0.0,-21.0
555,3,0.0,12000000.0,0.0,-21.0
556,0,0.9363980035474738,10500000.0,5312400000.0,-21.0
557,1,0.06360199645252625,10500000.0,5317200000.0,-21.0
558,2,0.0,10500000.0,0.0,-21.0
559,3,0.0,10500000.0,0.0,-21.0
