power,frequency,amplitude,phase,I,Q
17.0,5348155737.704918,0.12686184765968336,-0.5798355518269124,0.10612662881612778,-0.06950587779283524
17.0,5348306010.928962,0.12709547154038026,-0.5857736509320896,0.10590670257806778,-0.07026399672031403
17.0,5348456284.153006,0.12754132166935547,-0.5843330784349919,0.1063796877861023,-0.0703573077917099
17.0,5348606557.377049,0.12750851767454366,-0.6012235583428116,0.10514914989471436,-0.07212543487548828
17.0,5348756830.601093,0.1249228891604699,-0.5850395429487089,0.10414699465036392,-0.06898646056652069
17.0,5348907103.825136,0.12618256229895372,-0.5843577109557423,0.10524465888738632,-0.0696103498339653
17.0,5349057377.04918,0.12730715968502693,-0.5883039299443685,0.10590467602014542,-0.07064922153949738
17.0,5349207650.273224,0.12788768481688617,-0.5942627526588777,0.10596281290054321,-0.07160406559705734
17.0,5349357923.497268,0.12777546098520415,-0.6072878239863346,0.10492904484272003,-0.07291408628225327
17.0,5349508196.721312,0.12838025695372757,-0.6016948101824776,0.10583379119634628,-0.0726684182882309
17.0,5349658469.945355,0.12807338639283788,-0.6252887862127868,0.1038411483168602,-0.07496538013219833
17.0,5349808743.169399,0.12591291713887975,-0.6195347379082029,0.10251183807849884,-0.07311214506626129
17.0,5349959016.393442,0.1272372650065176,-0.6369681727292605,0.10228637605905533,-0.07567574828863144
17.0,5350109289.617486,0.12770696344737908,-0.6316804930905571,0.1030641570687294,-0.07541119307279587
17.0,5350259562.84153,0.12594376651954764,-0.6369765391636614,0.10124590247869492,-0.07490727305412292
17.0,5350409836.065574,0.12610289096820895,-0.6287246773243067,0.1019892692565918,-0.07416284829378128
17.0,5350560109.289618,0.12777720424361635,-0.5884410439929681,0.10628597438335419,-0.07092464715242386
17.0,5350710382.513661,0.12811600947555513,-0.6020299743967549,0.10559163987636566,-0.07255423814058304
17.0,5350860655.737705,0.12909243430693412,-0.6274813136585417,0.10450146347284317,-0.07579116523265839
17.0,5351010928.961749,0.1250602995321078,-0.6298591854483574,0.10106253623962402,-0.07366438955068588
17.0,5351161202.185792,0.1265104993684847,-0.6468566369841442,0.1009531244635582,-0.07624547928571701
17.0,5351311475.409836,0.12426842160212154,-0.649303890547215,0.09898040443658829,-0.07513667643070221
17.0,5351461748.63388,0.1245548781283833,-0.6741299881254289,0.09730853885412216,-0.07774937897920609
17.0,5351612021.8579235,0.12432792582665819,-0.6819223995050265,0.09652353823184967,-0.07836223393678665
17.0,5351762295.081967,0.1231385527132473,-0.6682203010923423,0.09665460139513016,-0.07629542052745819
17.0,5351912568.306011,0.12489930811608181,-0.6907945849704982,0.09626489132642746,-0.07957956939935684
17.0,5352062841.530055,0.12224332874841007,-0.6849202409227303,0.09467373043298721,-0.077332504093647
17.0,5352213114.754098,0.12397019004086826,-0.7056777197458362,0.09436266124248505,-0.08040084689855576
17.0,5352363387.978142,0.12190755778769055,-0.7137231569468118,0.09215354919433594,-0.07980711758136749
17.0,5352513661.202186,0.12265418309522183,-0.7134764872289299,0.09273774921894073,-0.08027302473783493
17.0,5352663934.4262295,0.12340978537442365,-0.7091031613751876,0.09366138279438019,-0.08035869896411896
17.0,5352814207.650273,0.12382538268329865,-0.6996583469596724,0.09473412483930588,-0.07973814010620117
17.0,5352964480.874317,0.12380232437445553,-0.7011788279440372,0.09459515661001205,-0.07986721396446228
17.0,5353114754.098361,0.12259139776483918,-0.7134158912083925,0.09269513934850693,-0.08022631704807281
17.0,5353265027.322404,0.12413444640254419,-0.7319108869777161,0.09234345704317093,-0.08295810222625732
17.0,5353415300.546448,0.12276913015284621,-0.7318334972020384,0.09133414924144745,-0.08203860372304916
17.0,5353565573.770492,0.12505527638121114,-0.7273291519289429,0.09341039508581161,-0.08314637839794159
17.0,5353715846.994535,0.12396981008756783,-0.7035266924778224,0.09453509747982025,-0.08019743859767914
17.0,5353866120.218579,0.12486626021466067,-0.7129310615887196,0.09445483982563019,-0.08166924864053726
17.0,5354016393.442623,0.12506590642545917,-0.6986883690865239,0.09576127678155899,-0.08044413477182388
