frequency,frequency,amplitude,phase,I,Q
5210000000.0,5368250000.0,0.1300576503857999,-0.5416349211415321,0.11144210398197174,-0.06704960763454437
5210000000.0,5368500000.0,0.12972044086257506,-0.5446331252690936,0.11095215380191803,-0.06720872223377228
5210000000.0,5368750000.0,0.1301981123451232,-0.5283081809089678,0.11244704574346542,-0.06562934070825577
5210000000.0,5369000000.0,0.12862187531604108,-0.5302901995716566,0.11095698922872543,-0.06505484879016876
5210000000.0,5369250000.0,0.13014370011762524,-0.5333375169713405,0.11206869781017303,-0.06616637855768204
5210000000.0,5369500000.0,0.1299765676894618,-0.5327285132093018,0.11196500062942505,-0.06601323187351227
5210000000.0,5369750000.0,0.12722204224282307,-0.5476417466653845,0.1086164265871048,-0.06624137610197067
5210000000.0,5370000000.0,0.1297580653153436,-0.5407568188611541,0.1112440973520279,-0.06679750233888626
5210000000.0,5370250000.0,0.1288249675840311,-0.5273614139897375,0.1113225445151329,-0.06483180820941925
5210000000.0,5370500000.0,0.13110489089706334,-0.5379671692914072,0.1125865951180458,-0.06717701256275177
5210000000.0,5370750000.0,0.12900941281542436,-0.529168272083911,0.1113644391298294,-0.0651259571313858
5210000000.0,5371000000.0,0.13020300270842827,-0.5330043814311441,0.11214181035757065,-0.06615917384624481
5210000000.0,5371250000.0,0.13148771324688022,-0.537204408044961,0.11296670138835907,-0.06728702038526535
5210000000.0,5371500000.0,0.12879250979444257,-0.5388414585532417,0.11054309457540512,-0.06608884036540985
5210000000.0,5371750000.0,0.13177127142592152,-0.5537424122332303,0.1120796948671341,-0.06929509341716766
5210000000.0,5372000000.0,0.1286070478107003,-0.5350595681139255,0.11063270270824432,-0.0655757412314415
5210000000.0,5372250000.0,0.12892259948571688,-0.520907569548016,0.11182332038879395,-0.06416059285402298
5210000000.0,5372500000.0,0.12985139377588403,-0.5239654961747833,0.11243078857660294,-0.06496693193912506
5210000000.0,5372750000.0,0.13149721407320158,-0.5390159798937655,0.11285277456045151,-0.06749643385410309
5210000000.0,5373000000.0,0.12953862136220437,-0.5418253520451971,0.11098464578390121,-0.06680316478013992
5210000000.0,5373250000.0,0.13012206566021642,-0.5355072078390263,0.1119062677025795,-0.06639833748340607
5210000000.0,5373500000.0,0.129397113279458,-0.5320586107739517,0.11150984466075897,-0.06564424932003021
5210000000.0,5373750000.0,0.1287263920855771,-0.5384638488459876,0.11051128059625626,-0.06601318717002869
5210000000.0,5374000000.0,0.1296949476407637,-0.5379013866874499,0.11138017475605011,-0.06644724309444427
5210000000.0,5374250000.0,0.13007977529980297,-0.5299507022806069,0.11223699152469635,-0.06575413048267365
5210000000.0,5374500000.0,0.13012424848387338,-0.5358375653480861,0.11188620328903198,-0.06643641740083694
5210000000.0,5374750000.0,0.13025211067174047,-0.5398929915167895,0.11172553151845932,-0.06695534288883209
5210000000.0,5375000000.0,0.13004549573928773,-0.5368462376281925,0.11175145953893661,-0.06650896370410919
5210000000.0,5375250000.0,0.12995632781307473,-0.5268247275024531,0.11233527958393097,-0.06534089148044586
5210000000.0,5375500000.0,0.13031968007407432,-0.5344485309797243,0.11214655637741089,-0.06638048589229584
5210000000.0,5375750000.0,0.12899363783695325,-0.5427862759160343,0.11045374721288681,-0.06662828475236893
5210000000.0,5376000000.0,0.1290747907056623,-0.5268234718763406,0.11157335340976715,-0.06489752233028412
5210000000.0,5376250000.0,0.13002132976983272,-0.5278228638694432,0.11232616007328033,-0.06548572331666946
5210000000.0,5376500000.0,0.1315255015301106,-0.5497124526340883,0.1121484786272049,-0.0687144547700882
